序号,严重程度,严重程度排序,记录编号,楼栋号,浇筑日期,浇筑部位,强度等级,监理员,问题类型,问题详情,文件夹原值,日志原值,清单原值,整改建议,责任岗位,指定责任人（填写）,计划完成日期（填写）,是否整改（填是/否）,实际完成日期（填写）,备注
1,严重,0,20240105_5号楼_C45(多字段缺失),5号楼,2024-01-05,三层柱墙,C45,李四,缺少监理签名,监理员【李四】未签名,,,,请通知该旁站监理员在24小时内完成补签，原件扫描存档,旁站监理员,,,否,,
2,严重,0,20240114_1号楼_三层柱墙_C40(缺少监理签名),1号楼,2024-01-14,三层柱墙,C40,张三,缺少监理签名,监理员【张三】未签名,,,,请通知该旁站监理员在24小时内完成补签，原件扫描存档,旁站监理员,,,否,,
3,重要,1,20240105_5号楼_C45(多字段缺失),5号楼,2024-01-05,三层柱墙,C45,李四,缺少坍落度,缺少【坍落度】未填写,,,,请根据开盘鉴定或现场实测数据补填坍落度值（如 160±20mm）,试验员,,,否,,
4,重要,1,20240105_5号楼_C45(多字段缺失),5号楼,2024-01-05,三层柱墙,C45,李四,缺少试块组数,缺少【试块组数】未填写,,,,请按规范要求补填试块组数（≥100m³不少于1组，不足100m³也需1组）,试验员,,,否,,
5,重要,1,20240106_2号楼_地下室负一层墙板_C30P6(一致性冲突-楼栋不一致),2号楼,2024-01-06,一层墙板,C30P6,赵六,楼栋号不一致,【楼栋号】资料不一致：文件夹名：2号楼 | 日志：2号楼 | 清单：3号楼,2号楼,2号楼,3号楼,请核对文件夹名、旁站日志、浇筑清单中的字段，保持三处信息一致后重新归档,项目质量总监,,,否,,
6,重要,1,20240106_2号楼_地下室负一层墙板_C30P6(一致性冲突-楼栋不一致),2号楼,2024-01-06,一层墙板,C30P6,赵六,部位不一致,【浇筑部位】资料不一致：文件夹名：一层墙板 | 日志：一层墙板 | 清单：地下室负一层墙板,一层墙板,一层墙板,地下室负一层墙板,请核对文件夹名、旁站日志、浇筑清单中的字段，保持三处信息一致后重新归档,项目质量总监,,,否,,
7,重要,1,20240107_5号楼_四层梁板柱_C40(一致性冲突-部位不一致),5号楼,2024-01-07,四层梁板,C40,王五,部位不一致,【浇筑部位】资料不一致：文件夹名：四层梁板 | 日志：四层梁板 | 清单：清单版四层梁板柱,四层梁板,四层梁板,清单版四层梁板柱,请核对文件夹名、旁站日志、浇筑清单中的字段，保持三处信息一致后重新归档,项目质量总监,,,否,,
8,重要,1,20240109_1号楼_三层柱墙_C45(一致性冲突-监理员不一致),1号楼,2024-01-09,三层柱墙,C45,赵六,监理员不一致,【监理员】资料不一致：日志：赵六 | 清单：张三,,赵六,张三,请核对文件夹名、旁站日志、浇筑清单中的字段，保持三处信息一致后重新归档,项目质量总监,,,否,,
9,重要,1,20240109_2号楼_五层基础承台_C45(照片时间早于浇筑3天),2号楼,2024-01-09,五层基础承台,C45,张三,照片时间异常,照片整体早于浇筑日期3天 （最早2024-01-06，浇筑2024-01-09），超出允许提前1天范围,,,,请核对照片拍摄时间与实际浇筑时段，必要时补充说明或更换原始照片,施工资料员,,,否,,
10,重要,1,20240109_5号楼_五层基础承台_C40(缺少坍落度),5号楼,2024-01-09,五层基础承台,C40,李四,缺少坍落度,缺少【坍落度】未填写,,,,请根据开盘鉴定或现场实测数据补填坍落度值（如 160±20mm）,试验员,,,否,,
11,重要,1,20240112_3号楼_二层梁板_C35(缺少试块组数),3号楼,2024-01-12,二层梁板,C35,张三,缺少试块组数,缺少【试块组数】未填写,,,,请按规范要求补填试块组数（≥100m³不少于1组，不足100m³也需1组）,试验员,,,否,,
12,重要,1,20240119_1号楼_四层梁板柱_C30(照片不足),1号楼,2024-01-19,四层梁板,C30,王五,部位不一致,【浇筑部位】资料不一致：文件夹名：四层梁板 | 日志：四层梁板 | 清单：四层梁板柱,四层梁板,四层梁板,四层梁板柱,请核对文件夹名、旁站日志、浇筑清单中的字段，保持三处信息一致后重新归档,项目质量总监,,,否,,
13,重要,1,20240122_1号楼_一层梁板柱_C40(完整无缺项),1号楼,2024-01-22,一层梁板,C40,李四,部位不一致,【浇筑部位】资料不一致：文件夹名：一层梁板 | 日志：一层梁板 | 清单：一层梁板柱,一层梁板,一层梁板,一层梁板柱,请核对文件夹名、旁站日志、浇筑清单中的字段，保持三处信息一致后重新归档,项目质量总监,,,否,,
14,重要,1,20240124_1号楼_一层梁板柱_C35(缺少日志文件),1号楼,2024-01-24,一层梁板,C35,张三,缺少旁站日志,未找到旁站日志文件,,,,请补做旁站监理日志，需包含人、机、料、法、环五要素并签名,旁站监理员,,,否,,
15,重要,1,20240124_1号楼_一层梁板柱_C35(缺少日志文件),1号楼,2024-01-24,一层梁板,C35,张三,部位不一致,【浇筑部位】资料不一致：文件夹名：一层梁板 | 清单：一层梁板柱,一层梁板,,一层梁板柱,请核对文件夹名、旁站日志、浇筑清单中的字段，保持三处信息一致后重新归档,项目质量总监,,,否,,
16,重要,1,20240124_3号楼_二层梁板_C45(一致性冲突-强度等级不一致),3号楼,2024-01-24,二层梁板,C40,赵六,强度等级不一致,【强度等级】资料不一致：文件夹名：C45 | 日志：C40 | 清单：C45,C45,C40,C45,请核对文件夹名、旁站日志、浇筑清单中的字段，保持三处信息一致后重新归档,项目质量总监,,,否,,
17,重要,1,20240125_1号楼_C30P6(缺少部位),1号楼,2024-01-25,一层墙板,C30P6,赵六,缺少坍落度,缺少【坍落度】未填写,,,,请根据开盘鉴定或现场实测数据补填坍落度值（如 160±20mm）,试验员,,,否,,
18,重要,1,20240125_1号楼_C30P6(缺少部位),1号楼,2024-01-25,一层墙板,C30P6,赵六,部位不一致,【浇筑部位】资料不一致：日志：一层墙板 | 清单：地下室负一层墙板,,一层墙板,地下室负一层墙板,请核对文件夹名、旁站日志、浇筑清单中的字段，保持三处信息一致后重新归档,项目质量总监,,,否,,
19,重要,1,清单-15,2号楼,2024-01-13,一层墙板,C40,李四,缺少旁站日志,未找到旁站日志文件,,,,请补做旁站监理日志，需包含人、机、料、法、环五要素并签名,旁站监理员,,,否,,
20,一般,2,20240105_5号楼_C45(多字段缺失),5号楼,2024-01-05,三层柱墙,C45,李四,缺少旁站照片,旁站照片数量不足（应有≥3张，实际1张）,,,,请要求施工单位补充旁站过程照片（开盘、浇筑中、收面各至少1张），照片需显示部位和时间水印,施工资料员,,,否,,
21,一般,2,20240119_1号楼_四层梁板柱_C30(照片不足),1号楼,2024-01-19,四层梁板,C30,王五,缺少旁站照片,旁站照片数量不足（应有≥3张，实际1张）,,,,请要求施工单位补充旁站过程照片（开盘、浇筑中、收面各至少1张），照片需显示部位和时间水印,施工资料员,,,否,,
22,一般,2,清单-15,2号楼,2024-01-13,一层墙板,C40,李四,缺少旁站照片,旁站照片数量不足（应有≥3张，实际0张）,,,,请要求施工单位补充旁站过程照片（开盘、浇筑中、收面各至少1张），照片需显示部位和时间水印,施工资料员,,,否,,
